title,vote_average,vote_count,release_date,runtime,budget,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,keywords,revenue
Man of Steel,6.614,14310,2013-06-12,143.0,225000000.0,en,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",44.96,You will believe that a man can fly.,"Action, Adventure, Science Fiction","DC Entertainment, Syncopy, Peters Entertainment, Warner Bros. Pictures","United Kingdom, United States of America",English,"saving the world, flying, hope, superhero, based on comic, alien planet, superhuman, alien invasion, super power, mysterious force, reboot, save the day, dc extended universe (dceu), save the planet, origin story, alien spaceship",668.045518
Hardbodies,4.979,48,1984-05-04,88.0,1995000.0,en,Hardbodies,"Three middle-aged daddies visit California to have a marvelous time at the beach. When they learn that a nice apartment and an expensive cabriolet isn't enough for them to score with the chicks, they employ a student to help them. At first he's as disgusted of them and his job as his girlfriend, but soon they find out how to use the situation to everyone's benefit.",8.853,"If you don't know what they are, you don't know what you're missing.",Comedy,"Chroma III Productions, Columbia Pictures",United States of America,English,"politically incorrect, older man younger woman relationship, beach house, middle ages (476-1453), psychotronic, sex comedy, swimsuit, beach blanket, cheesecake, nude modeling",7.1
A Most Wanted Man,6.5,1230,2014-07-25,121.0,15000000.0,en,A Most Wanted Man,A Chechen Muslim illegally immigrates to Hamburg and becomes a person of interest for a covert government team which tracks the movements of potential terrorists.,12.727,,Thriller,"Amusement Park Films, Lionsgate, Demarest Films, FilmNation Entertainment, Senator Film, The Ink Factory, Film4 Productions, Potboiler Productions","United Kingdom, United States of America, Germany",English,"immigrant, muslim, based on novel or book, espionage, spy, intelligence, torture, surveillance, security, hamburg, germany",31.554855
De Dana Dan,5.619,63,2009-11-27,166.0,8000000.0,hi,De Dana Dan,Two down on their luck men tries to kidnap a wealthy businesswoman's dog to demand a hefty ransom from her.  But things go haywire when the dog goes missing.,6.922,,"Action, Comedy, Crime","Venus Records & Tapes, Eros Worldwide",India,Hindi,romantic comedy,9.0
Edison,5.311,291,2005-07-29,99.0,25000000.0,en,Edison,"In the troubled city of Edison, a young journalist, his jaded editor, and an honest investigator from the district attorney's office join forces to gather evidence against corrupt members of an elite police unit.",12.746,"In this city, only the cops are above the law.","Drama, Action, Thriller","Millennium Media, Nu Image, Ascendant Pictures, VIP Medienfonds 3, EFO Films","Germany, United States of America",English,"police brutality, elite unit, police corruption, co-workers relationship, boyfriend girlfriend relationship, investigative journalist",4.165675
Everest,6.81,4567,2015-09-10,121.0,55000000.0,en,Everest,"Inspired by the incredible events surrounding a treacherous attempt to reach the summit of the world's highest mountain, ""Everest"" documents the awe-inspiring journey of two different expeditions challenged beyond their limits by one of the fiercest snowstorms ever encountered by mankind. Their mettle tested by the harshest of elements found on the planet, the climbers will face nearly impossible obstacles as a lifelong obsession becomes a breathtaking struggle for survival.",28.694,The Storm Awaits.,"Adventure, Drama, History","Cross Creek Pictures, Working Title Films, Walden Media, RVK Studios, Universal Pictures, Free State Pictures","Iceland, United States of America, United Kingdom",English,"himalaya mountain range, mountain, hiking, snowstorm, based on true story, climbing, snow, death, blizzard, mountain climbing, mount everest",203.427584
From Here to Eternity,7.303,564,1953-08-28,118.0,1650000.0,en,From Here to Eternity,"In 1941 Hawaii, a private is cruelly punished for not boxing on his unit's team, while his captain's wife and second in command are falling in love.",19.5,Pouring out of impassioned pages...brawling their way to greatness on the screen!,"War, Romance, Drama",Columbia Pictures,United States of America,"English, Italian","beach, based on novel or book, hawaii, world war ii, harassment, pearl harbor, military base, black and white, bombing, extramarital affair, military life, army base, 1940s, boxing, army bugler",30.5
Just My Luck,6.114,1761,2006-05-12,103.0,28000000.0,en,Just My Luck,"Manhattanite Ashley is known to many as the luckiest woman around. After a chance encounter with a down-and-out young man, however, she realizes that she's swapped her fortune for his.",15.8,Everything changed in the wink of an eye.,"Comedy, Drama, Family, Fantasy, Romance","New Regency Pictures, Regency Enterprises, Cheyenne Enterprises, 20th Century Fox",United States of America,English,"kiss, bad luck, romantic comedy, jinx, alcohol abuse, celebration, envy, luck, manhattan, new york city, mysterious stranger, masquerade, music industry",38.159905
Married to the Mob,5.869,229,1988-08-19,104.0,10000000.0,en,Married to the Mob,"Angela de Marco is fed up with her gangster husband's line of work and wants no part of the crime world. When her husband is killed for having an affair with the mistress of mob boss Tony ""The Tiger"" Russo, Angela and her son depart for New York City to make a fresh start. Unfortunately, Tony has set his sights upon Angela -- and so has an undercover FBI agent looking to use her to bust Tony.",17.942,They're her family... Whether she likes it or not.,"Comedy, Crime, Romance","Orion Pictures, Mysterious Arts",United States of America,English,"italian american, fbi, romantic comedy, mobster, aftercreditsstinger, starting over",21.486757
El Mariachi,6.714,1015,1992-09-04,81.0,7225.0,es,El Mariachi,"El Mariachi just wants to play his guitar and carry on the family tradition. Unfortunately, the town he tries to find work in has another visitor, a killer who carries his guns in a guitar case. The drug lord and his henchmen mistake el Mariachi for the killer, Azul, and chase him around town trying to kill him and get his guitar case.",12.568,"He didn't come looking for trouble, but trouble came looking for him.","Action, Crime, Thriller","Columbia Pictures, Los Hooligans Productions","Mexico, United States of America","English, Spanish","mistaken identity, usa–mexico border, mariachi, concealed weapon",2.04092
